category_id,category_name,subcategory_id,subcategory_name
11,American Express & Payments,0,American Express AMEX AEXP Card Member Membership Credit Points Rewards Merchant Global Acquiring Network Offers Marketing Account Bank Balance Financial Statement Service Product Spend Offer Partner Lumi SDE Internal Tool Travel Hotel Booking Corporate Program Small Business Services SBS Consumer B2B Commercial Platinum Green Centurion Charge Volume Growth Payment Fee Late Penalty Limit Increase Line Customer Complaint Issue Resolution Market Japan Region Country Cancel Close CCP Care Professional Gold Criteria Visa Mastercard Acronym Score Status Brand Communication Debt Collection Data Processing Ticketing Acquisition Onboarding Configuration Insurance Products APAC Portfolio Engineering General AEMP Platform Complaints Reviews LBI Critical Accounts YoY Metrics Mexico Website Gift Premium EMEA Germany Online Resy Length Logo Branding Impactful Hong Kong Location Supplier Buyer Funds FICO Scores Queries Award Alternatives Restaurant Opened Bins Brazil Merchants Revised Trip Cardmember Cards PCN Client Number API Claims Marriott Partnership CR Assist Flight Sync Lounge PT Bonus Manner Amex Initiatives Dining Channels Dollar Reward
11,American Express & Payments,1,Transaction Fraud Chargeback Dispute
11,American Express & Payments,2,Pricing TY Reports Currency USD Amount CTL Settings
11,American Express & Payments,3,Direct Pay Deposit Transfer
11,American Express & Payments,4,IAG Entity Structure
11,American Express & Payments,5,Video Creative Assets
11,American Express & Payments,6,Treasury Funding Liquidity
11,American Express & Payments,7,External Loan Financing
11,American Express & Payments,8,PCNS System Buttons
11,American Express & Payments,9,System of Record SOR
11,American Express & Payments,10,Targeting Eligibility
11,American Express & Payments,11,GMNS Evaluating
13,Business Communication & HR,12,HR Immigration Manager
13,Business Communication & HR,13,Cancellation Conflicts
13,Business Communication & HR,14,HR Responsibilities Introduction
13,Business Communication & HR,15,Benefits Enrollment Lift HR Eligibility Evening
13,Business Communication & HR,16,HR Interviewer Recruiter
13,Business Communication & HR,17,HR Associates Aspirations
13,Business Communication & HR,18,Official Opt In
13,Business Communication & HR,19,Singapore Communications
13,Business Communication & HR,20,Email Confirming Receipt
13,Business Communication & HR,21,WFM Coordination
13,Business Communication & HR,22,HR Gurgaon Highlights
5,Business Communication & Writing,23,Email Draft Response Follow Up Tone Professional Cordial Sugar Coat Formal Message Short Easy Read Slack Communication Subject Line Thread
5,Business Communication & Writing,24,Grammar Spelling Proofread Edit Punctuation Vocabulary Rephrase
5,Business Communication & Writing,25,Translate Language Translation Interpretation Localization
5,Business Communication & Writing,26,Presentation Slide Deck PowerPoint Pitch Proposal Outline Slides Content
5,Business Communication & Writing,27,Documentation Manual Article Blog Post Handbook Policy Confluence Page Wiki
5,Business Communication & Writing,28,Bullet Points List Formatting Text PX
5,Business Communication & Writing,29,Write Email Team Shared Details
5,Business Communication & Writing,30,Grammar Correct Sentence Words Simple Refine
5,Business Communication & Writing,31,Diagram Link Visio
5,Business Communication & Writing,32,Meeting Transcript Summarization Invite Calendar
