category_id,category_name,subcategory_id,subcategory_name,keywords
0,Software Engineering & Development,0,Core Programming Languages,java python c++ import def class public private syntax compile method object variable function loop array typedef enum struct pointer-arithmetic inheritance polymorphism encapsulation overloading overriding casting generics interface abstract iterator lambda exception-handling
0,Software Engineering & Development,1,Frontend Architecture,frontend react angular html css javascript dom jsx hook component state prop window document vue svelte nextjs nuxtjs webpack vite babel eslint tailwind bootstrap responsive scss sass flexbox grid-layout spa hydration virtual-dom
0,Software Engineering & Development,2,Backend Architecture,backend node express server middleware route django flask spring microservice monolith grpc fastapi nestjs gunicorn uvicorn wsgi asgi celery rabbitmq socket websocket orm sequelize
0,Software Engineering & Development,3,API & Integration Services,api graphql json payload post put get rest endpoint restful swagger openapi webhook oauth2 cors rate-limiting pagination versioning soap wsdl protobuf api-gateway throttle idempotent
0,Software Engineering & Development,4,Version Control Systems,git version commit push pull branch merge repository clone pr conflict rebase stash cherry-pick gitflow tag squash diff changelog bisect worktree submodule detached-head
0,Software Engineering & Development,5,Algorithms & Data Structures,algorithm structure sorting searching binary-tree hashtable linkedlist stack queue heap graph-theory recursion dynamic-programming greedy bfs dfs big-o complexity trie red-black-tree avl dijkstra
1,Production Support & Debugging,6,Exception Handling & Diagnostics,stacktrace exception null traceback pointer segfault error fail line file try-catch throw finally assertion runtime-error syntax-error type-error value-error overflow-error index-out-of-bounds classnotfound noclassdeffounderror
1,Production Support & Debugging,7,Performance Profiling,memory leak cpu profiler flamegraph heap-dump thread-dump garbage-collection gc-tuning jvm-monitoring apm newrelic dynatrace datadog-apm profiling bottleneck latency-profiling
1,Production Support & Debugging,8,Outage & Crash Triage,application crash outage downtime incident-response postmortem blameless severity sev1 sev2 mttr rto rpo failover circuit-breaker degradation service-disruption
1,Production Support & Debugging,9,Package Management,dependency package npm-install pip-install maven gradle nuget composer yarn pnpm package-lock lockfile semver peer-dependency transitive-dependency
2,Data Engineering & Database,10,Database Querying & DML,sql select update from where join insert query having distinct subquery cursor index stored procedure trigger view materialized dml crud rdbms postgresql mysql oracle mssql mariadb clause aggregate count sum avg
2,Data Engineering & Database,11,Schema & Data Modeling,column row schema normalization denormalization erd cardinality foreignkey primarykey constraint schemamigration alter ddl tablespace datatype varchar integer blob relational star snowflake dimension fact surrogate
2,Data Engineering & Database,12,Data Pipelines & Warehousing,etl warehouse elt ingestion dataflow lakehouse datalake medallion bronze silver gold fivetran informatica talend nifi dagster prefect staging transformation dimensional olap ssis dbt
2,Data Engineering & Database,13,NoSQL Database Administration,nosql mongodb cassandra couchdb dynamodb redis couchbase documentdb hbase neo4j keyvalue graphdb partitionkey sharding ttl oplog wiredtiger
2,Data Engineering & Database,14,Big Data Processing,hadoop spark mapreduce hive kafka streaming flink presto trino hdfs zookeeper avro parquet orc iceberg delta databricks emr kinesis stormrunner
3,Cloud Infrastructure & DevOps,15,Cloud Provisioning,aws ec2 s3 vpc iam securitygroup rds sqs sns elasticache cloudwatch autoscaling ebs route53 azurevm gcp
3,Cloud Infrastructure & DevOps,16,Container Orchestration,kubernetes docker container pod cluster k8s registry orchestration helm kustomize daemonset statefulset replicaset kubectl containerd cri dockercompose podman sidecar
3,Cloud Infrastructure & DevOps,17,CI/CD Automation,ci/cd jenkins gitlab deployment build runner circleci travisci argocd tekton artifactory nexus sonarqube codecov buildkite githubactions artifact
3,Cloud Infrastructure & DevOps,18,Infrastructure as Code (IaC),terraform ansible yaml playbook iac pulumi cfnstack stackset hcl tfstate moduleregistry provisioner declarative driftdetection
3,Cloud Infrastructure & DevOps,19,Networking & Routing,loadbalancer firewall dns subnet vlan proxy cdn ingress egress cidr peering vpn bgp routetable nacl haproxy nginx
4,Cyber Security & Identity,20,Authentication Services,authentication oauth saml sso mfa totp oidc openid ldap kerberos authn passwordless passkey fido2 webauthn jwt okta ping federation
4,Cyber Security & Identity,21,Access Control & RBAC,authorization rbac role permissions acl abac entitlement provisioning least-privilege segregation sod privilege scoping clearance
4,Cyber Security & Identity,22,Cryptography & Encryption,encryption ssl tls cipher aes rsa pkcs x509 certificate pki hmac sha256 hashing decrypt ciphertext keystore pgp gpg
4,Cyber Security & Identity,23,Threat Detection,vulnerability malware phishing ransomware trojan exploit cve siem ids ips edr xdr ioc threat pentest apt sandbox antivirus quarantine
4,Cyber Security & Identity,24,Regulatory Compliance,gdpr hipaa sox pci-dss ccpa ferpa nist iso27001 attestation fedramp coso cobit cmmc
5,Business Communication & Writing,25,Email Correspondence,draft mailbox inbox cc bcc subject-line signature attachment forwarding reply-all outlook compose recipient
5,Business Communication & Writing,26,Copywriting & Proofreading,spelling proofread punctuation syntax-check readability tone copyedit wordsmith clarity rewrite rephrase conciseness
