cluster_id,size,top_10_keywords,sample_fragment
0,459,"pautas, puedo, pagos, transfronterizos, cumplimiento, las, encontrar, dónde, advise, para",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? Please advise....
1,486,"encontrar, dónde, pautas, pagos, puedo, cumplimiento, transfronterizos, las, advance, thanks",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? Thanks in advance....
2,506,"autorizaciones, caído, tiempo, está, hoy, real, api, endpoint, la, advise",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? Please advise....
3,42,"mxn, advise, liquidaciones, cuál, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? Please advise....
4,452,"pautas, puedo, pagos, transfronterizos, las, cumplimiento, dónde, encontrar, urgent, para",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? Urgent....
5,475,"getting, trying, risk, internal, dashboard, code, access, error, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise....
6,484,"caído, autorizaciones, está, tiempo, hoy, endpoint, real, api, la, advance",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? Thanks in advance....
7,43,"sgd, cuál, advise, tipo, internacionales, actual, es, cambio, liquidaciones, usd",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? Please advise....
8,36,"mxn, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? Thanks in advance....
9,431,"pautas, puedo, pagos, transfronterizos, cumplimiento, las, encontrar, dónde, asap, para",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? ASAP....
10,464,"son, cuáles, año, límites, este, acceso, sala, vip, los, centurion",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? Please advise....
11,494,"getting, dashboard, code, risk, internal, trying, error, access, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. Thanks in advance....
12,472,"caído, hoy, autorizaciones, tiempo, está, real, endpoint, api, la, urgent",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? Urgent....
13,33,"gbp, advise, liquidaciones, cuál, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? Please advise....
14,36,"sgd, cambio, internacionales, cuál, liquidaciones, actual, tipo, advance, es, thanks",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? Thanks in advance....
15,36,"mxn, cuál, liquidaciones, internacionales, cambio, es, tipo, actual, urgent, usd",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? Urgent....
16,424,"pautas, puedo, pagos, transfronterizos, cumplimiento, las, dónde, encontrar, help, para",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? Help....
17,486,"guidelines, border, payments, cross, compliance, advise, 2993, 3009, 3010, 3011",Where can I find the compliance guidelines for cross-border payments? Please advise....
18,502,"cuáles, vip, año, este, límites, sala, son, acceso, centurion, los",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? Thanks in advance....
19,469,"getting, trying, dashboard, risk, internal, code, error, access, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent....
20,485,"tiempo, caído, está, hoy, autorizaciones, endpoint, api, real, la, asap",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? ASAP....
21,42,"jpy, advise, liquidaciones, cuál, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? Please advise....
22,51,"gbp, es, cambio, cuál, liquidaciones, actual, tipo, internacionales, advance, thanks",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? Thanks in advance....
23,53,"sgd, liquidaciones, cuál, cambio, es, internacionales, actual, tipo, urgent, usd",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? Urgent....
24,53,"mxn, cuál, liquidaciones, cambio, asap, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? ASAP....
25,468,"pautas, puedo, pagos, cumplimiento, transfronterizos, las, encontrar, dónde, pls, para",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? Pls....
26,440,"guidelines, compliance, payments, cross, border, advance, thanks, 3011, 3007, 3008",Where can I find the compliance guidelines for cross-border payments? Thanks in advance....
