raw_text,truncated_prompt,category_id,category_name,subcategory_id,subcategory_name
Where can I find the compliance guidelines for cross-border payments? Urgent.,Where can I find the compliance guidelines for cross-border payments? Urgent.,11,American Express & Payments,54,American Express Amex
Is the API endpoint for real-time authorizations down today?,Is the API endpoint for real-time authorizations down today?,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Urgent.,Is the API endpoint for real-time authorizations down today? Urgent.,0,Software Engineering & Development,3,Api Rest Graphql
Necesito presentar una disputa por un cargo de $4254.78 en mi cuenta corporativa.,Necesito presentar una disputa por un cargo de $4254.78 en mi cuenta corporativa.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card?,How do I reset the password for my Amex corporate card?,4,Cyber Security & Identity,128,Amex Card Risk
I am getting an error code 403 when trying to access the internal Amex risk dashboard. ASAP.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. ASAP.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Help.,Where can I find the compliance guidelines for cross-border payments? Help.,11,American Express & Payments,54,American Express Amex
Can you help me pull the latest transaction report for merchant Delta?,Can you help me pull the latest transaction report for merchant Delta?,11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks.",11,American Express & Payments,54,American Express Amex
Necesito presentar una disputa por un cargo de $4554.25 en mi cuenta corporativa. Help.,Necesito presentar una disputa por un cargo de $4554.25 en mi cuenta corporativa. Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card? Urgent.,How do I reset the password for my Amex corporate card? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
