category_id,category_name,subcategory_id,subcategory_name,keywords
0,Software Engineering & Development,0,Core Programming Languages & Syntax,python java javascript csharp golang rust kotlin swift typescript ruby scala perl haskell elixir cplusplus generics polymorphism inheritance lambda closure coroutine typedef enum syntax interpreter
0,Software Engineering & Development,1,Frontend Development & UI Frameworks,react angular vue svelte nextjs webpack vite tailwindcss bootstrap scss jsx dom redux storybook spa pwa css-modules material-ui responsive hydration ssr virtualdom nuxtjs chakra
0,Software Engineering & Development,2,Backend Development & Server Frameworks,express django flask springboot fastapi nestjs rails laravel aspnet gunicorn uvicorn tomcat middleware microservices monolith serverless koa actix gin wsgi asgi
0,Software Engineering & Development,3,API Design & Integration Services,rest graphql grpc openapi swagger postman webhook oauth jwt soap wsdl hateoas apigateway ratelimit throttling idempotency pagination curl insomnia apigee
0,Software Engineering & Development,4,Version Control & Source Management,git github gitlab bitbucket svn mercurial rebase cherry-pick stash gitflow pull-request commit diff blame bisect submodule monorepo gitignore pre-commit hooks
0,Software Engineering & Development,5,"Algorithms, Data Structures & Complexity",sorting hashtable bfs dfs dijkstra dynamic-programming backtracking trie heap linkedlist bst big-o np-hard recursion memoization quicksort mergesort amortized knapsack binary-search
0,Software Engineering & Development,6,Mobile Application Development,android ios flutter react-native xamarin swiftui jetpack-compose xcode cocoapods expo capacitor ionic cordova apk ipa testflight appstore playstore kotlin-multiplatform adb
0,Software Engineering & Development,7,Regular Expressions & Pattern Matching,regex regexp pcre lookahead lookbehind capturing-group quantifier backreference greedy-match lazy-match character-class alternation anchors sed awk glob wildcard re2 named-group
0,Software Engineering & Development,8,Code Architecture & Design Patterns,singleton factory observer strategy decorator adapter facade proxy mvc mvvm solid dry hexagonal clean-architecture cqrs event-sourcing repository-pattern dependency-injection mediator builder
0,Software Engineering & Development,9,Mainframe & Legacy Systems (JCL/COBOL),cobol jcl cics db2 vsam ims tso ispf rexx copybook ebcdic mainframe zos jes2 racf abend sysout pds batch-job spool
0,Software Engineering & Development,10,Data Orchestration & Workflow Engines,airflow dagster prefect luigi argo temporal step-functions dag nifi oozie celery conductor orchestration scheduler cron dbt mage cadence azkaban taskflow
0,Software Engineering & Development,11,Dependency & Impact Analysis,dependency-graph call-graph coupling cohesion blast-radius change-impact dead-code cyclomatic-complexity afferent efferent technical-debt refactoring traceability dependency-matrix ripple-effect fan-in fan-out modularity impact-assessment
0,Software Engineering & Development,12,Build Systems & Compilation Pipelines,make cmake gradle maven bazel msbuild sbt ant esbuild turbopack lerna nx linker transpiler ninja gyp autotools makefile preprocessor compilation
0,Software Engineering & Development,13,"Markup, Templating & Serialization",html xml json yaml toml markdown jinja2 mustache handlebars ejs pug haml protobuf avro thrift msgpack csv ini hcl jsonschema
0,Software Engineering & Development,14,Application Configuration & Feature Flags,dotenv configmap appsettings featureflag launchdarkly unleash flagsmith toggles properties config-file feature-toggle split-io statsig optimizely flipper growthbook remote-config dark-launch experiment-flag
0,Software Engineering & Development,15,Software Development Lifecycle (SDLC),agile scrum kanban waterfall sprint backlog user-story acceptance-criteria retrospective standup epic velocity burndown jira confluence devops ci/cd tdd bdd pair-programming
0,Software Engineering & Development,16,"IDE, Tooling & Developer Productivity",vscode intellij eclipse vim neovim emacs pycharm rider lsp debugger linter formatter prettier eslint pylint snippets copilot codespaces devcontainer terminal
0,Software Engineering & Development,17,Open Source & Package Ecosystem,npm pip pypi nuget cargo crates rubygems maven-central homebrew apt conda packagist license gpl mit apache-license open-source oss changelog semver
0,Software Engineering & Development,18,Low-Code & No-Code Platforms,powerapps outsystems mendix appian retool bubble webflow zapier airtable glide adalo appgyver unqork appsheet honeycode citizen-developer visual-builder drag-and-drop low-code no-code
0,Software Engineering & Development,19,Embedded Systems & IoT Development,arduino raspberry-pi esp32 stm32 rtos firmware gpio i2c spi uart mqtt zigbee bluetooth-le embedded-c microcontroller fpga vhdl verilog jtag bootloader hal arm-cortex freertos
1,Production Support & Debugging,20,Exception Handling & Stack Trace Analysis,stacktrace traceback exception try-catch nullpointerexception segfault unhandled-exception throw rethrow finally stack-unwinding core-dump minidump crash-dump exception-handler fault-handler signal-handler catch-block exception-chaining
1,Production Support & Debugging,21,Performance Profiling & Memory Management,profiler heap-dump memory-leak gc garbage-collection cpu-profiling flame-graph valgrind perf jmeter latency throughput bottleneck cache-miss thread-pool deadlock oom jvisualvm async-profiler memory-fragmentation
1,Production Support & Debugging,22,Outage Management & Crash Triage,outage downtime incident pagerduty opsgenie statuspage failover rollback hotfix crash severity p1 p2 sla mttr mttf war-room incident-commander on-call
1,Production Support & Debugging,23,Dependency & Package Resolution,npm-install pip-install dependency-conflict version-conflict lockfile package-lock yarn-lock peer-dependency transitive-dependency dll-hell classpath module-not-found import-error incompatible-version requirements-txt gemfile-lock cargo-lock go-sum pom-xml resolution-strategy
1,Production Support & Debugging,24,Script Execution & Log Analysis,logging logfile stdout stderr syslog journalctl log4j logback slf4j grep tail logstash fluentd splunk kibana elk log-rotation log-level verbose trace-log
1,Production Support & Debugging,25,Error Code Interpretation & HTTP Diagnostics,http-status 404 500 502 503 401 403 408 429 timeout bad-gateway connection-refused dns-resolution ssl-error tls-handshake certificate-error cors status-code http-error errno
1,Production Support & Debugging,26,Compilation & Build Error Resolution,compile-error syntax-error undefined-reference unresolved-symbol missing-header type-mismatch build-failure link-error include-path missing-dependency deprecated-api incompatible-types build-cache build-log redefinition ambiguous-overload warning-as-error implicit-declaration forward-declaration
1,Production Support & Debugging,27,Configuration & Environment Troubleshooting,misconfiguration env-variable path-variable connection-string config-error port-conflict permission-denied firewall-rule proxy-setting hosts-file dns-config ssl-config java-home environment-setup registry-key dotnet-config env-mismatch wrong-version config-drift
1,Production Support & Debugging,28,UAT & SIT Environment Support,uat sit staging pre-production test-environment sandbox smoke-test regression-test test-data test-case defect bug-report acceptance-test integration-test qa-signoff release-candidate deployment-slot data-masking mock-server test-harness
