category_id,category_name,subcategory_id,subcategory_name
0,Software Engineering & Development,0,Java Python C++
0,Software Engineering & Development,1,Frontend React Angular
0,Software Engineering & Development,2,Backend Node Express
0,Software Engineering & Development,3,Api Rest Graphql
0,Software Engineering & Development,4,Git Version Control
0,Software Engineering & Development,5,Algorithm Data Structure
1,Production Support & Debugging,6,Stacktrace Exception Null
1,Production Support & Debugging,7,Memory Leak Cpu
1,Production Support & Debugging,8,Application Crash Outage
1,Production Support & Debugging,9,Dependency Package Version
2,Data Engineering & Database,10,Sql Select Update
2,Data Engineering & Database,11,Table Column Row
2,Data Engineering & Database,12,Etl Pipeline Warehouse
2,Data Engineering & Database,13,Nosql Mongodb Cassandra
2,Data Engineering & Database,14,Big Data (Hadoop/Spark)
3,Cloud Infrastructure & DevOps,15,Aws Ec2 S3
3,Cloud Infrastructure & DevOps,16,Kubernetes Docker Container
3,Cloud Infrastructure & DevOps,17,Ci Cd Jenkins
3,Cloud Infrastructure & DevOps,18,Terraform Ansible Infrastructure
3,Cloud Infrastructure & DevOps,19,Network Load Balancer
4,Cyber Security & Identity,20,Authentication Oauth Saml
4,Cyber Security & Identity,21,Authorization Rbac Role
4,Cyber Security & Identity,22,Encryption Ssl Tls
4,Cyber Security & Identity,23,Vulnerability Malware Phishing
4,Cyber Security & Identity,24,Compliance Gdpr Hipaa
5,Business Communication & Writing,25,Email Draft Response
5,Business Communication & Writing,26,Grammar Spelling Proofread
5,Business Communication & Writing,27,Translate Language Translation
5,Business Communication & Writing,28,Presentation Slide Deck
5,Business Communication & Writing,29,Documentation Manual Article
6,Executive Strategy & Management,30,Roi Kpi Metric
6,Executive Strategy & Management,31,Revenue & Profitability
6,Executive Strategy & Management,32,Roadmap Vision Mission
6,Executive Strategy & Management,33,Talent Hr Hiring
6,Executive Strategy & Management,34,Market Competition Differentiation
7,Process & Project Management,35,Agile Scrum Sprint
7,Process & Project Management,36,Ticket Jira Issue
7,Process & Project Management,37,Workflow Checklist Step
7,Process & Project Management,38,Meeting Notes Agenda
7,Process & Project Management,39,Release Schedule Change
8,Testing & Quality Assurance,40,Unit Test Mock
8,Testing & Quality Assurance,41,Integration Test End
8,Testing & Quality Assurance,42,Regression Load Stress
8,Testing & Quality Assurance,43,Qa Defect Bug
9,Data Analytics & Visualization,44,Excel Formula Pivot
9,Data Analytics & Visualization,45,Dashboards & Visualization
9,Data Analytics & Visualization,46,Statistics Mean Median
9,Data Analytics & Visualization,47,Data Cleansing Formatting
9,Data Analytics & Visualization,48,Python Data Science (Pandas/Numpy)
10,General Productivity & Knowledge,49,Summarize Condense Abstract
10,General Productivity & Knowledge,50,Concept Ideation
10,General Productivity & Knowledge,51,Format Structure Table
10,General Productivity & Knowledge,52,Explain Define Concept
10,General Productivity & Knowledge,53,Math Calculate Equation
11,American Express & Payments,54,American Express Amex
11,American Express & Payments,55,Card Member Membership
11,American Express & Payments,56,Merchant Global Acquiring
11,American Express & Payments,57,Amex Offers Marketing
11,American Express & Payments,58,Account Bank Balance
0,Software Engineering & Development,59,Application Tests
0,Software Engineering & Development,60,Gatling Load Testing
0,Software Engineering & Development,61,Mime Types
0,Software Engineering & Development,62,Regex Patterns
0,Software Engineering & Development,63,Jcl Clickable Links
0,Software Engineering & Development,64,Prd Leaves Production
0,Software Engineering & Development,65,Plot Cid Graphics
0,Software Engineering & Development,66,Optional Directories
0,Software Engineering & Development,67,Dispatch Comparable
0,Software Engineering & Development,68,Ccps Notification
0,Software Engineering & Development,69,Airflow Schedule Interval
0,Software Engineering & Development,70,Downstream Impacts
0,Software Engineering & Development,71,Xhtml Posture
0,Software Engineering & Development,72,Launchpad Listlevel
1,Production Support & Debugging,73,Script Execution Logs
1,Production Support & Debugging,74,Error Code Exception
1,Production Support & Debugging,75,Software Code Errors
1,Production Support & Debugging,76,Software Configuration Errors
1,Production Support & Debugging,77,Uat Sit Testing
1,Production Support & Debugging,78,Ui Bug Screenshots
1,Production Support & Debugging,79,Linux Elf Errors
1,Production Support & Debugging,80,Alert Panel Severity
1,Production Support & Debugging,81,Software Error Reports
1,Production Support & Debugging,82,Quality Control Qc
1,Production Support & Debugging,83,Software Code Error
1,Production Support & Debugging,84,Invalid Identifier Errors
1,Production Support & Debugging,85,Support Escalation Win
1,Production Support & Debugging,86,Developer Mistakes
1,Production Support & Debugging,87,It Technology Investigation
1,Production Support & Debugging,88,Nexthink It Narration
2,Data Engineering & Database,89,CSV Data Loading
2,Data Engineering & Database,90,Tableau Lod Expression
2,Data Engineering & Database,91,Statistics Sample Population
2,Data Engineering & Database,92,Google Bigquery
2,Data Engineering & Database,93,Power Bi Selectedvalue
2,Data Engineering & Database,94,Statistical Analysis
2,Data Engineering & Database,95,Jupyter Notebooks
2,Data Engineering & Database,96,Chart Vertical Legend
2,Data Engineering & Database,97,Us States Exchange
2,Data Engineering & Database,98,Model Id Product
2,Data Engineering & Database,99,Xml Central Configuration
2,Data Engineering & Database,100,Pib Predictive Models
2,Data Engineering & Database,101,Refactoring Lpad
2,Data Engineering & Database,102,Correlation Analysis
2,Data Engineering & Database,103,Water Height Measurements
